metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1734792140,1.000000,,,,true,,GET,https://test.k6.io,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io,,
http_req_duration,1734792140,111.788300,,,,true,,GET,https://test.k6.io,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io,,
http_req_blocked,1734792140,292.843400,,,,true,,GET,https://test.k6.io,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io,,
http_req_connecting,1734792140,111.178200,,,,true,,GET,https://test.k6.io,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io,,
http_req_tls_handshaking,1734792140,137.929000,,,,true,,GET,https://test.k6.io,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io,,
http_req_sending,1734792140,0.087000,,,,true,,GET,https://test.k6.io,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io,,
http_req_waiting,1734792140,111.701300,,,,true,,GET,https://test.k6.io,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io,,
http_req_receiving,1734792140,0.000000,,,,true,,GET,https://test.k6.io,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io,,
http_req_failed,1734792140,0.000000,,,,true,,GET,https://test.k6.io,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io,,
vus,1734792141,1.000000,,,,,,,,,,,,,,,,
vus_max,1734792141,3.000000,,,,,,,,,,,,,,,,
http_reqs,1734792142,1.000000,,,,true,,GET,https://test.k6.io/contacts.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/contacts.php,,
http_req_duration,1734792142,108.196300,,,,true,,GET,https://test.k6.io/contacts.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/contacts.php,,
http_req_blocked,1734792142,0.000000,,,,true,,GET,https://test.k6.io/contacts.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/contacts.php,,
http_req_connecting,1734792142,0.000000,,,,true,,GET,https://test.k6.io/contacts.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/contacts.php,,
http_req_tls_handshaking,1734792142,0.000000,,,,true,,GET,https://test.k6.io/contacts.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/contacts.php,,
http_req_sending,1734792142,0.000000,,,,true,,GET,https://test.k6.io/contacts.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/contacts.php,,
http_req_waiting,1734792142,108.196300,,,,true,,GET,https://test.k6.io/contacts.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/contacts.php,,
http_req_receiving,1734792142,0.000000,,,,true,,GET,https://test.k6.io/contacts.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/contacts.php,,
http_req_failed,1734792142,0.000000,,,,true,,GET,https://test.k6.io/contacts.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/contacts.php,,
vus,1734792142,1.000000,,,,,,,,,,,,,,,,
vus_max,1734792142,3.000000,,,,,,,,,,,,,,,,
vus,1734792143,1.000000,,,,,,,,,,,,,,,,
vus_max,1734792143,3.000000,,,,,,,,,,,,,,,,
http_reqs,1734792144,1.000000,,,,true,,GET,https://test.k6.io/flip_coin.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/flip_coin.php,,
http_req_duration,1734792144,108.477900,,,,true,,GET,https://test.k6.io/flip_coin.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/flip_coin.php,,
http_req_blocked,1734792144,0.000000,,,,true,,GET,https://test.k6.io/flip_coin.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/flip_coin.php,,
http_req_connecting,1734792144,0.000000,,,,true,,GET,https://test.k6.io/flip_coin.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/flip_coin.php,,
http_req_tls_handshaking,1734792144,0.000000,,,,true,,GET,https://test.k6.io/flip_coin.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/flip_coin.php,,
http_req_sending,1734792144,0.000000,,,,true,,GET,https://test.k6.io/flip_coin.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/flip_coin.php,,
http_req_waiting,1734792144,108.477900,,,,true,,GET,https://test.k6.io/flip_coin.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/flip_coin.php,,
http_req_receiving,1734792144,0.000000,,,,true,,GET,https://test.k6.io/flip_coin.php,HTTP/1.1,default,,200,,tls1.3,https://test.k6.io/flip_coin.php,,
